date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:49:21	1408817/1408817	---M--	200	added ('OK')	video/mp4	etag:%2257fd1dcd-157f31%22	http://minimums.com/wp-content/themes/ink-modified/pocket.mp4	E:/Asif%20Projects/websites/allInOne/minimums.com/wp-content/themes/ink-modified/pocket.mp4	(from http://minimums.com/)
16:49:21	35/35	---M--	200	added ('OK')	image/gif	date:Sat,%2022%20Apr%202017%2010:49:32%20GMT	https://track.gaug.es/track.gif	E:/Asif%20Projects/websites/allInOne/track.gaug.es/track.gif	(from http://minimums.com/)
16:49:24	3854/3854	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2008%20Dec%202015%2020:30:35%20GMT	https://track.gaug.es/track.js	E:/Asif%20Projects/websites/allInOne/track.gaug.es/track.js	(from http://minimums.com/)
16:49:24	340135/340135	---M--	200	added ('OK')	image/jpeg	etag:%22587efe31-530a7%22	http://minimums.com/wp-content/uploads/2017/01/2.jpg	E:/Asif%20Projects/websites/allInOne/minimums.com/wp-content/uploads/2017/01/2.jpg	(from http://minimums.com/)
16:49:26	79218/79218	---M-Z	200	added ('OK')	text/javascript	etag:%22a77e48c2c927e323f2899dfeeff98178%22	http://cdn.viglink.com/api/vglnk.js	E:/Asif%20Projects/websites/allInOne/cdn.viglink.com/api/vglnk.js	(from http://minimums.com/)
16:49:32	72449/72449	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2257fd1dcb-11b01%22	http://minimums.com/wp-content/themes/ink-modified-2/assets/fonts/fontawesome-webfont.eot?v=4.1.0	E:/Asif%20Projects/websites/allInOne/minimums.com/wp-content/themes/ink-modified-2/assets/fonts/fontawesome-webfont862f.eot	(from http://minimums.com/wp-content/themes/ink-modified-2/assets/css/font-awesome.css?ver=4.1.0)
16:49:35	253487/253487	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2257fd1dcb-3de2f%22	http://minimums.com/wp-content/themes/ink-modified-2/assets/fonts/fontawesome-webfont.svg?v=4.1.0	E:/Asif%20Projects/websites/allInOne/minimums.com/wp-content/themes/ink-modified-2/assets/fonts/fontawesome-webfont862f.svg	(from http://minimums.com/wp-content/themes/ink-modified-2/assets/css/font-awesome.css?ver=4.1.0)
16:49:36	72449/72449	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2257fd1dcb-11b01%22	http://minimums.com/wp-content/themes/ink-modified-2/assets/fonts/fontawesome-webfont.eot?	E:/Asif%20Projects/websites/allInOne/minimums.com/wp-content/themes/ink-modified-2/assets/fonts/fontawesome-webfontd41d.eot	(from http://minimums.com/wp-content/themes/ink-modified-2/assets/css/font-awesome.css?ver=4.1.0)
16:49:38	15821/15821	---M--	200	added ('OK')	image/png	etag:%2257fd1dcb-3dcd%22	http://minimums.com/wp-content/themes/ink-modified/assets/img/pattern.png	E:/Asif%20Projects/websites/allInOne/minimums.com/wp-content/themes/ink-modified/assets/img/pattern.png	(from http://minimums.com/wp-content/themes/ink-modified-2/style.css?ver=123456789)
16:49:40	83760/83760	---M--	200	added ('OK')	application/x-font-woff	etag:%2257fd1dcb-14730%22	http://minimums.com/wp-content/themes/ink-modified-2/assets/fonts/fontawesome-webfont.woff?v=4.1.0	E:/Asif%20Projects/websites/allInOne/minimums.com/wp-content/themes/ink-modified-2/assets/fonts/fontawesome-webfont862f.woff	(from http://minimums.com/wp-content/themes/ink-modified-2/assets/css/font-awesome.css?ver=4.1.0)
16:49:41	4529/4529	---M--	200	added ('OK')	image/png	etag:%2257fd1dcc-11b1%22	http://minimums.com/wp-content/plugins/jetpack/modules/carousel/images/arrows.png	E:/Asif%20Projects/websites/allInOne/minimums.com/wp-content/plugins/jetpack/modules/carousel/images/arrows.png	(from http://minimums.com/wp-content/plugins/jetpack/css/jetpack.css?ver=3.7.2)
16:49:44	10063/10063	---M--	200	added ('OK')	image/png	etag:%2257fd1dcc-274f%22	http://minimums.com/wp-content/plugins/jetpack/modules/carousel/images/arrows-2x.png	E:/Asif%20Projects/websites/allInOne/minimums.com/wp-content/plugins/jetpack/modules/carousel/images/arrows-2x.png	(from http://minimums.com/wp-content/plugins/jetpack/css/jetpack.css?ver=3.7.2)
